主管機關,收容所編號,收容所名稱,收容所鄉鎮市區,收容所村里,地址,管理人,連絡電話,收容人數,X坐標,Y坐標,備註,最後更新時間
臺東縣政府,SV961-0003,小港活動中心,成功鎮,忠孝里,臺東縣成功鎮忠孝里7鄰成廣路7號,林永勝,(089)851004分機36,20,291048.6,2561782.81,,20171024
臺東縣政府,SV961-0004,三仙真耶穌教會,成功鎮,三仙里,臺東縣成功鎮三仙里白蓮路140號,吳英妹,(089)853283,50,290975.61,2558642.64,,20171024
臺東縣政府,SV961-0005,高台耶穌教會,成功鎮,三仙里,臺東縣成功鎮三仙里高台33號,林富雄,(089)850862,50,,,,20171024
臺東縣政府,SV961-0006,忠智里活動中心,成功鎮,忠智里,臺東縣成功鎮忠智里22鄰五權路164號,李明穎,(089)851004分機34,30,288950.13,2555933.94,,20171024
臺東縣政府,SV961-0007,麒麟活動中心,成功鎮,忠仁里,臺東縣成功鎮忠仁里麒麟路45-12號,張淑娟,(089)851004分機33,30,,,,20171024
臺東縣政府,SV961-0008,三民里活動中心,成功鎮,三民里,臺東縣成功鎮三民里2鄰三民路20號,陳鼎欣,(089)851004分機32,20,288100.13,2555649.68,,20171024
臺東縣政府,SV961-0009,三民里第2市場,成功鎮,三民里,臺東縣成功鎮三民里三民路111號,陳鼎欣,(089)851004分機32,50,,,,20171024
臺東縣政府,SV961-0010,豐田活動中心,成功鎮,信義里,臺東縣成功鎮信義里26鄰豐田路91號,林坤壇,(089)851004分機37,20,284752.19,2549931.25,,20171024
臺東縣政府,SV961-0011,都歷活動中心,成功鎮,信義里,臺東縣成功鎮信義里15鄰都歷路113號,林坤壇,(089)851004分機37,20,283946.5,2547518.7,,20171024
臺東縣政府,SV961-0012,小馬活動中心,成功鎮,信義里,臺東縣成功鎮信義里5鄰小馬路44號,林坤壇,(089)851004分機37,20,282253.22,2543650.04,,20171024
臺東縣政府,SV961-0013,國立成功商業水產職業學校,成功鎮,忠智里,臺東縣成功鎮忠智里太平路52號,蔡吉郎,(089)850011,200,289128.03,2555904.22,,20171024
臺東縣政府,SV961-0014,成功鎮忠孝國民小學,成功鎮,忠孝里,臺東縣成功鎮忠孝里成廣路8號,王金地,(089)871109,150,290909.63,2561711.09,,20171024
臺東縣政府,SV961-0015,成功鎮新港國民中學,成功鎮,忠智里,臺東縣成功鎮忠智里中正路1號,鄭瑞銀,(089)851034,250,288577.21,2555594.02,,20171024
臺東縣政府,SV961-0016,成功鎮信義國民小學,成功鎮,信義里,臺東縣成功鎮信義里都歷路58號,楊正雄,(089)841029,100,283911.52,2547295.73,,20171024
臺東縣政府,SV956-0001,關山鎮老人文康活動中心,關山鎮,豐泉里,臺東縣關山鎮豐泉里3鄰忠孝路18巷2號,會長戴運連,0963002822,100,266656.26,2550033.74,,20171024
臺東縣政府,SV956-0002,新福活動中心,關山鎮,新福里,臺東縣關山鎮新福里8鄰溪埔34之1號,里長白光輝,(089)811777,50,267643.46,2549400,,20171024
臺東縣政府,SV956-0003,里瓏活動中心,關山鎮,里瓏里,臺東縣關山鎮里瓏里崁頂46之1號,里長潘顯堂,(089)811229,100,,,,20171024
臺東縣政府,SV956-0004,中福活動中心,關山鎮,中福里,臺東縣關山鎮中福里10鄰中華路68號,里長黃昭仁,(089)811579,100,266806.04,2549726.7,,20171024
臺東縣政府,SV956-0005,豐泉活動中心,關山鎮,豐泉里,臺東縣關山鎮豐泉里3鄰忠孝路18巷2號,里長黃綱榮,(089)811858,50,266656.26,2550033.74,,20171024
臺東縣政府,SV956-0006,月眉活動中心,關山鎮,月眉里,臺東縣關山鎮月眉里6鄰中和7之3號,里長鄒秀清,(089)812872,50,265539.09,2546050.24,,20171024
臺東縣政府,SV956-0007,德高活動中心,關山鎮,德高里,臺東縣關山鎮德高里8鄰永豐105之1號,里長莊贄平,(089)931111,100,268200.99,2552579.46,,20171024
臺東縣政府,SV956-0008,電光活動中心,關山鎮,電光里,臺東縣關山鎮電光里3鄰中興85號,里長潘寶瑩,(089)951472,50,,,,20171024
臺東縣政府,SV956-0009,關山鎮關山國民小學,關山鎮,豐泉里,臺東縣關山鎮豐泉里1鄰中華路101號,事務組長歐又菁,(089)811012,500,266879.31,2549897.56,,20171024
臺東縣政府,SV956-0010,關山鎮月眉國民小學,關山鎮,月眉里,臺東縣關山鎮月眉里盛豐路1號,總務主任陳慶榕,(089)811074,40,,,,20171024
臺東縣政府,SV956-0011,關山鎮德高國民小學,關山鎮,德高里,臺東縣關山鎮德高里7鄰永豐16號,總務主任方家銘,(089)931149,200,,,,20171024
臺東縣政府,SV956-0012,關山鎮電光國民小學,關山鎮,電光里,臺東縣關山鎮電光里6鄰中興93號,總務主任游家榮,(089)951142分機03,200,267810.67,2544963.84,,20171024
臺東縣政府,SV954-0001,賓朗村活動中心,卑南鄉,賓朗村,臺東縣卑南鄉賓朗村18鄰賓朗路474巷3號,李啟源,(089)222054,50,,,,20171024
臺東縣政府,SV954-0002,賓朗老人暨多功能活動中心,卑南鄉,賓朗村,臺東縣卑南鄉賓朗村18鄰賓朗路474巷3-1號,李啟源,(089)222054,150,,,,20171024
臺東縣政府,SV954-0003,美農村活動中心,卑南鄉,美農村,臺東縣卑南鄉美農村8鄰東成36號,鄭裕琪,(089)571054,30,259582.54,2525517.57,,20171024
臺東縣政府,SV954-0004,太平村活動中心,卑南鄉,太平村,臺東縣卑南鄉太平村8鄰和平路128巷8號,賴幸蘭,(089)380948,80,259074,2520143.64,,20171024
臺東縣政府,SV954-0005,東成國民小學,卑南鄉,美農村,臺東縣卑南鄉美農村斑鳩92號,蘇嘉微,(089)571124,50,,,,20171024
臺東縣政府,SV954-0006,初鹿國民小學,卑南鄉,初鹿村,臺東縣卑南鄉初鹿村5鄰梅園路97號,陳淑雯,(089)571027,50,259449.1,2528802.1,,20171024
臺東縣政府,SV954-0007,初鹿村多功能暨老人活動中心,卑南鄉,初鹿村,臺東縣卑南鄉初鹿村5鄰忠孝路165號,郭文益,(089)571703,110,259494.35,2528855.14,,20171024
臺東縣政府,SV954-0008,太平國民小學,卑南鄉,泰安村,臺東縣卑南鄉泰安村6號,潘俊榮,(089)381418分機203,50,,,,20171024
臺東縣政府,SV954-0009,泰安活動中心,卑南鄉,泰安村,臺東縣卑南鄉泰安村5鄰泰安路101號,曾新福,(089)381180,50,,,,20171024
臺東縣政府,SV954-0010,利嘉村活動中心,卑南鄉,利嘉村,臺東縣卑南鄉利嘉村17鄰利嘉路669號,曾新福,(089)382446,30,256392.07,2519476.72,,20171024
臺東縣政府,SV954-0011,東興村活動中心,卑南鄉,東興村,臺東縣卑南鄉東興村6鄰東園一街120號,藍代志,(089)382505,70,254218.55,2518249.59,,20171024
臺東縣政府,SV954-0012,大南國民小學,卑南鄉,東興村,臺東縣卑南鄉東興村1鄰東園一街40號,李玉如,(089)382402,50,254419.54,2518253.83,,20171024
臺東縣政府,SV954-0013,溫泉村活動中心,卑南鄉,溫泉村,臺東縣卑南鄉溫泉村11鄰溫泉路293號,吳春瑩,(089)512744,30,252577.81,2510823,,20171024
臺東縣政府,SV954-0015,溫泉國民小學,卑南鄉,溫泉村,臺東縣卑南鄉溫泉村11鄰溫泉路291號,劉和旺,(089)512354分機203,50,252664.07,2510805.78,,20171024
臺東縣政府,SV954-0016,富山村活動中心,卑南鄉,富山村,臺東縣卑南鄉富山村3鄰漁場路64號,廖文裕,(089)281343,30,,,,20171024
臺東縣政府,SV954-0017,富山國民小學,卑南鄉,富山村,臺東縣卑南鄉富山村3鄰漁場路66號,李基興,(089)281086,50,,,,20171024
臺東縣政府,SV954-0018,富源村活動中心,卑南鄉,富源村,臺東縣卑南鄉富源村8鄰118號,廖文裕,(089)223084,30,,,,20171024
臺東縣政府,SV954-0019,利吉村活動中心,卑南鄉,利吉村,臺東縣卑南鄉利吉村3鄰52號,鄭裕琪,(089)222304,30,,,,20171024
臺東縣政府,SV954-0020,財團法人臺東縣私立仁愛之家,卑南鄉,太平村,臺東縣臺東市豐年里17鄰中興路三段549號,林鴻祺,(089)227592分機222,20,260933.11,2518937.25,,20171024
臺東縣政府,SV954-0023,FHotel,卑南鄉,溫泉村,臺東縣台東市大順路33號,張晏菖,(089)511555,30,,,,20171024
臺東縣政府,SV954-0024,臺東縣農會東遊季溫泉渡假村,卑南鄉,溫泉村,臺東縣卑南鄉溫泉村溫泉路376巷18號,黃建彰,(089)516111,30,,,,20171024
臺東縣政府,SV954-0025,知本金聯世紀酒店,卑南鄉,溫泉村,臺東縣卑南鄉溫泉村19鄰龍泉路30號,吳沛玲,(089)515688,30,252042.08,2510222.72,,20171024
臺東縣政府,SV954-0026,國立臺東大學,卑南鄉,太平村,臺東縣台東市大學路2段369號,黃士昌,(089)517395,50,,,,20171024
臺東縣政府,SV955-0001,鹿野鄉公所,鹿野鄉,鹿野村,臺東縣鹿野鄉鹿野村12鄰中華路二段139號,林志成,(089)552136,50,263967.25,2534804.67,,20171024
臺東縣政府,SV955-0002,鹿野鄉立托兒所,鹿野鄉,瑞隆村,臺東縣鹿野鄉瑞隆村14鄰瑞景路一段23巷9號,黃麗梅,(089)580309,50,265540.98,2537685.54,,20171024
臺東縣政府,SV955-0003,和平社區活動中心,鹿野鄉,鹿野村,臺東縣鹿野鄉鹿野村3鄰和平路29-1號,宋憲陵,(089)551195,40,,,,20171024
臺東縣政府,SV955-0004,龍田社區活動中心,鹿野鄉,龍田村,臺東縣鹿野鄉龍田村7鄰光榮路308號,陳濯源,(089)551259,20,262371.96,2533676.5,,20171024
臺東縣政府,SV955-0005,永安社區活動中心,鹿野鄉,永安村,臺東縣鹿野鄉永安村3鄰永安路257巷5號,陳宗猛,(089)551818,20,263289.29,2536711.14,,20171024
臺東縣政府,SV955-0006,永昌社區活動中心,鹿野鄉,永安村,臺東縣鹿野鄉永安村3鄰永安路98號,楊文源,(089)552087,30,,,,20171024
臺東縣政府,SV955-0008,瑞豐社區活動中心,鹿野鄉,瑞豐村,臺東縣鹿野鄉瑞豐村10鄰景新路60巷2號,黃紹良,(089)812289,30,264336.82,2542957.28,,20171024
臺東縣政府,SV955-0009,新豐社區活動中心,鹿野鄉,瑞豐村,臺東縣鹿野鄉瑞豐村4鄰新和路五段281巷1號,江永清,(089)581080,30,,,,20171024
臺東縣政府,SV955-0010,瑞隆社區活動中心,鹿野鄉,瑞隆村,臺東縣鹿野鄉瑞隆村10鄰佑民路7號,黎萬和,(089)580268,30,266012.74,2539310.92,,20171024
臺東縣政府,SV955-0011,瑞源社區活動中心,鹿野鄉,瑞隆村,臺東縣鹿野鄉瑞隆村10鄰佑民路7號,劉進金,0920910489,30,266012.74,2539310.92,,20171024
臺東縣政府,SV955-0012,鹿野國小,鹿野鄉,鹿野村,臺東縣鹿野鄉鹿野村6鄰中華路一段402號,陳廣陵總務主任,(089)551371,100,264054.92,2534256.48,,20171024
臺東縣政府,SV955-0013,龍田國小,鹿野鄉,龍田村,臺東縣鹿野鄉龍田村3鄰光榮路236號,涂振勝總務主任,(089)551078,30,262746.27,2533683.96,,20171024
臺東縣政府,SV955-0014,永安國小,鹿野鄉,永安村,臺東縣鹿野鄉永安村鹿寮路31號,施怡欣總務主任,(089)551172,20,263163.83,2536938.41,,20171024
臺東縣政府,SV955-0015,瑞源國小,鹿野鄉,瑞源村,臺東縣鹿野鄉瑞源村12鄰文化路67號,姚閔懷總務主任,(089)581064,50,265940.07,2539623.56,,20171024
臺東縣政府,SV955-0016,瑞豐國小,鹿野鄉,瑞豐村,臺東縣鹿野鄉瑞豐村8鄰中山路67號,林立靜總務主任,(089)581118,10,264039.63,2541971.57,,20171024
臺東縣政府,SV955-0017,鹿野國中,鹿野鄉,龍田村,臺東縣鹿野鄉龍田村1鄰光榮路38號,曾凱鴻,(089)551006分機252,100,263866.5,2533987.13,,20171024
臺東縣政府,SV955-0018,瑞源國中,鹿野鄉,瑞和村,臺東縣鹿野鄉瑞和村1鄰瑞景路三段1號,謝勝利,(089)581425,40,266069.13,2541435.57,,20171024
臺東縣政府,SV958-0005,米鄉-池上文化館,池上鄉,福原村,臺東縣池上鄉福原村公園路2號,邱靜沂,(089)862041,100,,,,20171024
臺東縣政府,SV959-0001,都蘭國小,東河鄉,都蘭村,臺東縣東河鄉都蘭村431號,鄭美雪總務主任,(089)531224,215,,,,20171024
臺東縣政府,SV959-0002,都蘭活動中心,東河鄉,都蘭村,臺東縣東河鄉都蘭村39鄰372號,高智略理事長,(089)531703,50,,,,20171024
臺東縣政府,SV959-0003,興隆國小,東河鄉,興昌村,臺東縣東河鄉興昌村155號,洪秀全總務主任,(089)531283,120,,,,20171024
臺東縣政府,SV959-0004,隆昌村辦公處活動中心,東河鄉,隆昌村,臺東縣東河鄉隆昌村18鄰230號,陳啟杉,(089)541186,50,,,,20171024
臺東縣政府,SV959-0005,東河鄉公所2樓大會議室,東河鄉,東河村,臺東縣東河鄉東河村11鄰南東河311號,陳璽伍總務,(089)896200,50,281040.65,2540893.05,,20171024
臺東縣政府,SV959-0006,泰源國小,東河鄉,泰源村,臺東縣東河鄉泰源村本部落11鄰297號,劉雪珍總務主任,(089)891011,310,,,,20171024
臺東縣政府,SV959-0007,泰源活動中心村辦公處,東河鄉,泰源村,臺東縣東河鄉泰源村8鄰225號,吳占勝村長,(089)891512,80,,,,20171024
臺東縣政府,SV959-0008,北源國小,東河鄉,北源村,臺東縣東河鄉北源村順那21號,黃正吉總務主任,(089)891103,111,279997.23,2548712.65,,20171024
臺東縣政府,SV959-0009,北源活動中心村辦公處,東河鄉,北源村,臺東縣東河鄉北源村美蘭19鄰43-1號,江清霖理事長黃光福村幹事,(089)891588,100,,,,20171024
臺東縣政府,SV959-0010,尚德國小村辦公室,東河鄉,尚德村,臺東縣東河鄉尚德村3鄰前寮43號,林輝英村長,(089)892328,260,274680.8,2540176.27,,20171024
臺東縣政府,SV962-0001,樟原國民小學,長濱鄉,樟原村,臺東縣長濱鄉樟原村1鄰7號,校長周盈璋,(089)881019,140,,,,20171024
臺東縣政府,SV962-0002,三間村南溪國小,長濱鄉,三間村,臺東縣長濱鄉三間村南溪16鄰5-7號,高蓮妹,(089)881253,180,,,,20171024
臺東縣政府,SV962-0003,三間國民小學,長濱鄉,三間村,臺東縣長濱鄉三間村7鄰16號,校長李秀琴,(089)831306分機204,110,,,,20171024
臺東縣政府,SV962-0004,忠勇社區活動中心,長濱鄉,忠勇村,臺東縣長濱鄉忠勇村四鄰4-9號,潘金枝,(089)832412,40,,,,20171024
臺東縣政府,SV962-0005,長濱國民小學,長濱鄉,長濱村,臺東縣長濱鄉長濱村5鄰11號,嚴政雍校長,(089)832139,300,,,,20171024
臺東縣政府,SV962-0006,竹湖國民小學,長濱鄉,竹湖村,臺東縣長濱鄉竹湖村10鄰14號,校長廖允伶,(089)831295分機12,140,,,,20171024
臺東縣政府,SV962-0007,寧埔國民小學,長濱鄉,寧埔村,臺東縣長濱鄉寧埔村10鄰41號,校長林龍泉,(089)801082分機221,140,,,,20171024
臺東縣政府,SV962-0008,南竹湖社區活動中心,長濱鄉,竹湖村,臺東縣長濱鄉竹湖村17鄰34號,胡梅花,(089)832139,30,,,,20171024
臺東縣政府,SV962-0009,寧埔社區活動中心,長濱鄉,寧埔村,臺東縣長濱鄉寧埔村10鄰15號,林勝雄,(089)832139,120,,,,20171024
臺東縣政府,SV963-0001,太麻里鄉美和國民小學,太麻里鄉,美和村,臺東縣太麻里鄉美和村6鄰美和90號,倪明樑,(089)781307,100,254549.14,2509700.9,,20171024
臺東縣政府,SV963-0002,太麻里鄉三和村辦公處,太麻里鄉,三和村,臺東縣太麻里鄉三和村2鄰漁場131號,古慶松,(089)781306,70,253653.07,2507703.54,,20171024
臺東縣政府,SV963-0003,華源活動中心,太麻里鄉,華源村,臺東縣太麻里鄉華源村1鄰大坑15號,古慶松,(089)781301,70,252856.05,2506902.76,,20171024
臺東縣政府,SV963-0004,北里活動中心,太麻里鄉,北里村,臺東縣太麻里鄉北里村3鄰北太麻里20之4號,鄒宗翰,(089)781302,30,,,,20171024
臺東縣政府,SV963-0005,大王國小,太麻里鄉,大王村,臺東縣太麻里鄉大王村7鄰文化路60號,黃貞英,(089)781342,100,250378.85,2501464.17,,20171024
臺東縣政府,SV963-0007,香蘭國小,太麻里鄉,香蘭村,臺東縣太麻里鄉香蘭村舊香蘭路4鄰28號,戴雲萍,(089)781304,80,,,,20171024
臺東縣政府,SV963-0008,金崙活動中心,太麻里鄉,金崙村,臺東縣太麻里鄉金崙村6鄰金崙283號,許加和,(089)781305,80,246334.33,2492614.71,,20171024
臺東縣政府,SV963-0009,太麻里鄉多良村辦公處,太麻里鄉,多良村,臺東縣太麻里鄉多良村18鄰大溪251號,劉任瑜,(089)761077,80,243974.13,2484839.28,,20171024
臺東縣政府,SV963-0010,順安府,太麻里鄉,大王村,臺東縣太麻里鄉大王村11鄰順安路39號,陳水獅,(089)782297,50,,,,20171024
臺東縣政府,SV963-0011,太麻里鄉老人會館,太麻里鄉,大王村,臺東縣太麻里鄉大王村11鄰順安路33號,陳玉璽,(089)781301,100,,,,20171024
臺東縣政府,SV963-0012,金崙溫泉長老教會,太麻里鄉,金崙村,臺東縣太麻里鄉金崙村16鄰40號,陳文龍,(089)771305,20,,,,20171024
臺東縣政府,SV965-0001,加津林活動中心,大武鄉,大竹村,臺東縣大武鄉大竹村15鄰加津林50號,鄭振雄,(089)761098,200,242000.23,2479645.64,,20171024
臺東縣政府,SV965-0002,愛國蒲分校,大武鄉,大竹村,臺東縣大武鄉大竹村愛國蒲6鄰92號,張盛華,(089)761007,100,,,,20171024
臺東縣政府,SV965-0003,大武國小,大武鄉,大武村,臺東縣大武鄉大武村民族街2巷49號,陳佩瑜,(089)791826,350,,,,20171024
臺東縣政府,SV965-0004,大武鄉多功能綜合活動中心暨避難收容所,大武鄉,大武村,臺東縣大武鄉大武村10鄰大武街21巷1號,高佳珍,(089)792275,300,240374.79,2473186.03,,20171024
臺東縣政府,SV965-0005,尚武村社區活動中心,大武鄉,尚武村,臺東縣大武鄉尚武村政通3街1號,葉雅綸,(089)791917,100,,,,20171024
臺東縣政府,SV965-0006,大武老人會館,大武鄉,大武村,臺東縣大武鄉大武村14鄰大武街110號,董炎輝,(089)791450,150,240088.59,2473026.96,,20171024
臺東縣政府,SV965-0007,大武鄉立托兒所,大武鄉,尚武村,臺東縣大武鄉尚武村政通5街6-1號,張輝煌,(089)791721,100,,,,20171024
臺東縣政府,SV965-0008,大武村社區活動中心,大武鄉,大武村,臺東縣大武鄉大武村大武街56號,陳立忠,(089)791826,100,,,,20171024
臺東縣政府,SV965-0009,南興村社區活動中心,大武鄉,南興村,臺東縣大武鄉南興村達興路173號,鍾皓如,(089)702165,200,,,,20171024
臺東縣政府,SV951-0162,綠島鄉社會福利活動中心,綠島鄉,公館村,臺東縣綠島鄉公館村柴口1鄰62號,邱冠愷,(089)672145,60,,,,20171024
臺東縣政府,SV951-0163,南寮社區活動中心,綠島鄉,南寮村,臺東縣綠島鄉南寮村南寮190號,童上歡,(089)672358,50,298157.05,2507665.27,,20171024
臺東縣政府,SV951-0164,中寮社區活動中心,綠島鄉,中寮村,臺東縣綠島鄉中寮村中寮1鄰31號,李怡如,(089)672315,30,,,,20171024
臺東縣政府,SV951-0165,公館社區活動中心,綠島鄉,公館村,臺東縣綠島鄉公館村公館5鄰1號,鄭志雄,(089)672517,30,,,,20171024
臺東縣政府,SV951-0166,綠島國中,綠島鄉,中寮村,臺東縣綠島鄉中寮村9鄰中寮4號,林玉隆,(089)672506分機11,200,298302.01,2508161.87,,20171024
臺東縣政府,SV951-0167,綠島國民小學,綠島鄉,中寮村,臺東縣綠島鄉中寮村1鄰中寮3號,林麗菁,(089)672543分機13,200,,,,20171203
臺東縣政府,SV951-0168,公館國民小學,綠島鄉,公館村,臺東縣綠島鄉公館村公館98號,鍾文惠,(089)672548分機12,200,300650.3,2508285.88,,20171203
臺東縣政府,SV951-0169,空軍綠島探空分隊,綠島鄉,南寮村,臺東縣綠島鄉南寮村火燒山41號,高穎聰,(089)672210,300,,,,20171024
臺東縣政府,SV957-0001,海端鄉公所,海端鄉,海端村,臺東縣海端鄉海端村4鄰山界路43號,林劭傑,(089)931307,50,268092.08,2555596.63,,20171203
臺東縣政府,SV957-0002,海端國小,海端鄉,海端村,臺東縣海端鄉海端村4鄰山界36號,廖坤峰,(089)931184,100,,,,20171024
臺東縣政府,SV957-0003,海端鄉立幼兒園,海端鄉,海端村,臺東縣海端鄉海端村3鄰山界17之3號,史慧玲,(089)931466,80,268100.58,2555382.33,,20171203
臺東縣政府,SV957-0004,原加拿托兒所,海端鄉,加拿村,臺東縣海端鄉加拿村1鄰加南1號,胡淑貞,(089)811044,50,263351.69,2544231.62,,20171024
臺東縣政府,SV957-0005,霧鹿國小,海端鄉,霧鹿村,臺東縣海端鄉霧鹿村2鄰12號,邱冠儒,(089)935053,180,,,,20171024
臺東縣政府,SV957-0006,原霧鹿托兒所,海端鄉,霧鹿村,臺東縣海端鄉霧鹿村3鄰霧鹿37號,黃萬松,(089)935074,50,,,,20171024
臺東縣政府,SA953-0002,武陵戒治所懇親宿舍,延平鄉,武陵村,臺東縣延平鄉武陵村1鄰,馮祖寧,(089)561298,130,,,,20171024
臺東縣政府,SV953-0001,桃源村活動中心,延平鄉,桃源村,臺東縣延平鄉桃源村4鄰78號,鄭念宗,(089)561481,50,,,,20171024
臺東縣政府,SV953-0003,永康村鄉立幼兒園,延平鄉,永康村,臺東縣延平鄉永康村2鄰43號,蔡子旋,(089)561244,50,,,,20171024
臺東縣政府,SV953-0004,鸞山村活動中心,延平鄉,鸞山村,臺東縣延平鄉鸞山村1鄰16號,林德永,(089)568057,30,,,,20171024
臺東縣政府,SV953-0005,武陵村活動中心,延平鄉,武陵村,臺東縣延平鄉武陵村1鄰15號,蔡子旋,(089)551764,30,,,,20171024
臺東縣政府,SV953-0006,紅葉國小,延平鄉,紅葉村,臺東縣延平鄉紅葉村紅谷路1鄰1號,宋德麟,(089)561298,60,,,,20171024
臺東縣政府,SV964-0001,嘉蘭村活動中心,金峰鄉,嘉蘭村,臺東縣金峰鄉嘉蘭村4鄰嘉蘭219號,李吳道義,(089)751069,100,245885.88,2499625.77,,20171203
臺東縣政府,SV964-0002,正興村活動中心,金峰鄉,正興村,臺東縣金峰鄉正興村2鄰28號,陳進興,(089)782497,100,,,,20171024
臺東縣政府,SV964-0003,賓茂活動中心,金峰鄉,賓茂村,臺東縣金峰鄉賓茂村1鄰3-2號,高永輝,(089)771393,100,,,,20171024
臺東縣政府,SV964-0004,歷坵活動中心,金峰鄉,歷坵村,臺東縣金峰鄉歷坵村1鄰12號,邱江南,(089)771439,100,,,,20171024
臺東縣政府,SV964-0006,介達國小,金峰鄉,正興村,臺東縣金峰鄉正興村5鄰105號,田桂香,(089)781583,100,,,,20171024
臺東縣政府,SV964-0007,新興國小,金峰鄉,新興村,臺東縣金峰鄉新興村1鄰1號,黃潮源,(089)781687,100,,,,20171024
臺東縣政府,SV964-0008,賓茂國小,金峰鄉,賓茂村,臺東縣金峰鄉賓茂村68號,朱慧清,(089)771007,100,,,,20171024
臺東縣政府,SV966-0001,安朔國小,達仁鄉,安朔村,臺東縣達仁鄉安朔村8鄰113號,校長顏正一,(089)702275,200,,,,20171024
臺東縣政府,SV966-0002,安朔基督教會,達仁鄉,森永村,臺東縣達仁鄉安朔村2鄰20號,林正行,(089)702277,50,,,,20171024
臺東縣政府,SV966-0003,安朔集會所,達仁鄉,安朔村,臺東縣達仁鄉安朔村6鄰安朔路114號,村長汪淑惠,(089)702071,50,,,,20171024
臺東縣政府,SV966-0004,森永活動中心,達仁鄉,森永村,臺東縣達仁鄉森永村3鄰31號,范國祥,(089)702136,100,,,,20171024
臺東縣政府,SV966-0005,南田活動中心,達仁鄉,南田村,臺東縣達仁鄉南田村10之2號,村長楊陳田龍,(089)702285,100,,,,20171024
臺東縣政府,SV966-0006,南田基督教會,達仁鄉,南田村,臺東縣達仁鄉南田村3鄰20號,高富源,(089)702116,50,,,,20171024
臺東縣政府,SV966-0007,啦里吧活動中心,達仁鄉,台坂村,臺東縣達仁鄉臺土反村9鄰啦里吧49號,溫光林,(089)761320,100,241113.71,2486819.14,,20171203
臺東縣政府,SV966-0008,台坂活動中心,達仁鄉,台坂村,臺東縣達仁鄉台坂村10鄰56號,李征義,(089)761320,100,,,,20171024
臺東縣政府,SV966-0009,臺東縣台坂國民小學,達仁鄉,台坂村,臺東縣達仁鄉台坂村10鄰59-1號,羅道勳,(089)761252,200,,,,20171024
臺東縣政府,SV966-0010,台坂基督教會,達仁鄉,台坂村,臺東縣達仁鄉台坂村8鄰24號,林輝發,(089)761487,50,,,,20171024
臺東縣政府,SV966-0011,達仁鄉立土板托兒所,達仁鄉,土板村,臺東縣達仁鄉土板村1鄰106號,蕭惠美,(089)761893,160,,,,20171024
臺東縣政府,SV966-0012,臺東縣立土板國小,達仁鄉,土板村,臺東縣達仁鄉土板村2鄰10號,蕭德光,(089)761225,200,,,,20171024
