資料集名稱,資料來源,聯絡人,聯絡電話,資料說明
宜蘭縣柴油車排煙動力計檢測站基本資料,環保局_空氣噪音防制科,楊博植,03-03-9907755#207,提供宜蘭縣柴油車排煙動力計檢測站地點資訊(CSV_XML_JSON)
宜蘭縣依據噪音管制標準第八條公告噪音管制標準,環保局_空氣噪音防制科,楊博植,03-9907755#207,宜蘭縣依據噪音管制標準第八條公告噪音管制標準噪音管制標準第八條：其他經主管機關公告場所及風力發電機組以外之設施噪音管制標準值
宜蘭縣自辦港口水質監測結果,環保局_水污染防治科,游世雄,03-9907755#808,"採樣海域,採樣日期,採樣水深,pH,水溫,導電度,溶氧量,鹽度,生化需氧量,海水中化學需氧量,大腸桿菌群,油脂,酚類,懸浮固體,礦物性油脂,海水中鎘,海水中鉻,海水中六價鉻,海水中銅,海水中鐵,海水中錳,海水中鎳,海水中鉛,海水中鋅,汞,砷,達馬松,亞素靈,大利松,巴拉松,一品松,陶斯松"
噪音管制標準第二條：噪音管制時段區分說明,環保局_空氣噪音防制科,楊博植,03-9907755#207,噪音管制標準第二條：噪音管制時段區分說明
噪音管制標準第四條：工廠(場)噪音管制標準值,環保局_空氣噪音防制科,楊博植,03-9907755#207,噪音管制標準第四條：工廠(場)噪音管制標準值
噪音管制標準第五條：娛樂場所、營業場所噪音管制標準,環保局_空氣噪音防制科,楊博植,03-9907755#207,噪音管制標準第五條：娛樂場所、營業場所噪音管制標準
噪音管制標準第六條：營建工程噪音管制標準值,環保局_空氣噪音防制科,楊博植,03-9907755#207,噪音管制標準第六條：營建工程噪音管制標準值
噪音管制標準第七條：擴音設施噪音管制標準,環保局_空氣噪音防制科,楊博植,03-9907755#207,噪音管制標準第七條：擴音設施噪音管制標準
宜蘭縣依據噪音管制標準第八條公告噪音管制標準,環保局_空氣噪音防制科,楊博植,03-9907755#207,宜蘭縣依據噪音管制標準第八條公告噪音管制標準噪音管制標準第八條：其他經主管機關公告場所及風力發電機組以外之設施噪音管制標準值
宜蘭縣港口水質監測標準值,環保局_水污染防治科,游世雄,03-9907755#808,宜蘭縣港口水質監測標準值
宜蘭縣自辦海域水質監測結果,環保局_水污染防治科,游世雄,03-9907755#808,宜蘭縣自辦海域水質監測結果
宜蘭縣海域水質監測標準值,環保局_水污染防治科,游世雄,03-9907755#808,宜蘭縣海域水質監測標準值
宜蘭縣環境教育設施場所名冊,環保局_綜合計劃科,謝欣妤,03-9907755#153,宜蘭縣環境教育設施場所名冊
宜蘭縣再生家具販售目錄,環保局_設施管理及檢驗科,林恆裕,03-9907755#606,宜蘭縣環保局再生家具販售目錄，提供CSV、XML、JSON格式資料
宜蘭縣環保局公務統計報表下載,環保局_會計室,呂姁懌,03-9907755#553,宜蘭縣環保局公務統計報表下載
宜蘭縣資源回收物分類指引明細表,環保局_廢棄物管理科,黃心潔,03-9907755#306,宜蘭縣資源回收物分類指引明細表
宜蘭縣環保局申辦表單下載,環保局_空氣噪音防制科,江宜修,03-9907755#208,宜蘭縣環保局申辦表單下載
宜蘭縣垃圾衛生掩埋場進場量資料,環保局_設施管理及檢驗科,林恆裕,03-9907755#606,宜蘭縣垃圾衛生掩埋場進場量資料
宜蘭縣垃圾衛生掩埋場歷年地下水監測結果,環保局_設施管理及檢驗科,林恆裕,03-9907755#606,宜蘭縣垃圾衛生掩埋場歷年地下水監測結果
宜蘭縣垃圾衛生掩埋場地下水監測基準值,環保局_設施管理及檢驗科,林恆裕,03-9907755#606,宜蘭縣垃圾衛生掩埋場地下水監測基準值
宜蘭縣垃圾衛生掩埋場地下水監測井位置資料,環保局_設施管理及檢驗科,林恆裕,03-9907755#606,宜蘭縣垃圾衛生掩埋場地下水監測井位置資料
宜蘭縣垃圾掩埋場現況表,環保局_設施管理及檢驗科,林恆裕,03-9907755#606,宜蘭縣垃圾掩埋場現況表
宜蘭縣交通音量每季監測資料,環保局_空氣噪音防制科,楊博植,03-9907755#207,宜蘭縣交通音量每季監測資料
宜蘭縣一般地區環境音量每季監測資料,環保局_空氣噪音防制科,楊博植,03-9907755#207,宜蘭縣一般地區環境音量監測
宜蘭縣社區資源回收站資訊,環保局_廢棄物管理科,黃心潔,03-9907755#302,宜蘭縣社區資源回收站資訊
宜蘭縣環保旅店名冊,環保局_綜合計劃科,何淑寬,03-9907755#160,宜蘭縣環保旅店名冊
宜蘭縣生熟廚餘回收分類表,環保局_廢棄物管理科,黃心潔,03-9907755#306,宜蘭縣生熟廚餘回收分類表
宜蘭縣各鄉鎮市垃圾車APP清運點資料,環保局_設施管理及檢驗科,林恆裕,03-9907755#606,宜蘭縣各鄉鎮市垃圾車APP清運點資料
宜蘭縣人工空氣品質監測站總懸浮微粒監測資料,環保局_空氣噪音防制科,江宜修,03-9907755#208,宜蘭縣人工空氣品質監測站總懸浮微粒監測資料
宜蘭縣已補助新購電動二輪車申請案查詢,環保局_空氣噪音防制科,楊家麒,03-9907755#209,宜蘭縣已補助新購電動二輪車申請案查詢
宜蘭縣加油站資料,環保局_水污染防治科,林彥斌,03-9907755#205,提供CSV、XML、JSON三種資料格式
宜蘭縣環保局各項計畫執行成果,環保局_行政科,楊晉昇,03-9907755#502,宜蘭縣環保局各項計畫執行成果
宜蘭縣有申請廢食用油工作證之合格清除機構,環保局_設施管理及檢驗科,劉雅芷,03-9907755#612,提供CSV、XML、JSON三種資料格式
宜蘭縣飲料販賣業提報減量計畫之優惠方案,環保局_廢棄物管理科,黃心潔,03-03-9907755#306,宜蘭縣飲料販賣業提報減量計畫之優惠方案
宜蘭縣自備環保杯享優惠業者名單,環保局_廢棄物管理科,黃心潔,03-9907755#306,宜蘭縣自備環保杯享優惠業者名單
宜蘭縣環保局招標公告,環保局_行政科,陸世強,03-9907755#501,宜蘭縣環保局招標公告
宜蘭縣環保局新聞稿,環保局_行政科,駱麗雪,03-9907755#505,宜蘭縣環保局新聞稿
宜蘭縣綠色商店名冊,環保局_綜合計劃科,何淑寬,03-9907755#160,宜蘭縣綠色商店名冊
宜蘭縣人工空氣品質監測站落塵量監測資料,環保局_空氣噪音防制科,江宜修,03-9907755#208,宜蘭縣人工空氣品質監測站落塵量監測資料
宜蘭縣各鄉鎮市清潔隊廚餘回收分類表,環保局_廢棄物管理科,黃心潔,03-9907755#306,宜蘭縣各鄉鎮市清潔隊廚餘回收分類表
宜蘭縣公民營清除處理機構名冊,環保局_設施管理及檢驗科,劉雅芷,03-9907755#602,宜蘭縣公民營清除處理機構名冊
宜蘭縣環保局環保大事記,環保局_行政科,駱麗雪,03-9907755#505,宜蘭縣環保局環保大事記
宜蘭縣廢棄車輛拖吊資料查詢系統,環保局_廢棄物管理科,歐俊民,03-9907755#303,提供民眾查詢廢棄車輛拖吊資料查詢。
宜蘭縣水質監測站基本資料,環保局_水污染防治科,林彥斌,03-9907755#804,宜蘭縣水質監測站基本資料提供CSV、XML、JSON三種資料格式
宜蘭縣機車排氣檢驗站資料,環保局_空氣噪音防制科,楊家騏,03-03-9907755#209,宜蘭縣機車排氣檢驗站資料
宜蘭縣公廁基本資料,環保局_廢棄物管理科,林惠珠,03-9907755#305,由宜蘭縣政府環保局所提供管轄內所有公共廁所座標資訊，方便民眾多加應用。
宜蘭縣已核發應回收廢棄物回收處理業登記名冊,環保局_空氣噪音防制科,歐俊民,03-03-9907755#303,宜蘭縣已核發應回收廢棄物回收處理業登記名冊
宜蘭縣電動機車充電站,環保局_空氣噪音防制科,楊家騏,03-03-9907755#209,宜蘭縣電動機車充電站地址
宜蘭縣領有病媒防治業許可執照業者名單,環保局_廢棄物管理科,吳承穎,03-9907755#311,本縣領有病媒防治業許可執照業者名單
宜蘭縣環保法規,環保局_法制,李家明,03-9907755#570,宜蘭縣環保法規
宜蘭縣噪音監測站名冊,環保局_空氣噪音防制科,楊博植,03-9907755#207,宜蘭縣噪音監測站名冊
宜蘭縣本縣各類噪音管制區公告,環保局_空氣噪音防制科,楊博植,03-9907755#207,宜蘭縣本縣各類噪音管制區公告
宜蘭縣歷年資源回收成果統計表,環保局_廢棄物管理科,黃心潔,03-9907755#606,宜蘭縣歷年資源回收成果統計表
宜蘭縣區域性地下水監測井基本資料,環保局_水污染防治科,潘莉雯,03-9907755#803,宜蘭縣區域性地下水監測井基本資料(區域性，由地方環保局進行監測)
宜蘭縣自來水水質監測與指標資料,環保局_水污染防治科,劉哲男,03-9907755#801,宜蘭縣自來水水質監測與指標資料
宜蘭縣人工空氣品質測站設置概況與測定項目,環保局_空氣噪音防制科,江宜修,03-9907755#208,宜蘭縣人工空氣品質測站設置概況與測定項目基本資料
宜蘭縣固定污染源自動連續監測系統(CEMS)開放資料,環保局_空氣噪音防制科,林旺明,03-9907755#204,相關說明：http:__cems.ilepb.gov.tw_OpenData_API使用說明：http:__cems.ilepb.gov.tw_OpenData_Public_ApiHelp.aspx
宜蘭縣民宿名冊,工商旅遊處_觀光行銷科,林建國,(03)925-1000-1872,宜蘭縣內已申請核准之民宿
宜蘭旅遊服務中心暨遊客中心,工商旅遊處_遊憩管理科宜蘭河轄區組,簡美珠,(03)931-2152,提供縣政府管轄及東北暨宜蘭海岸國家風景區管理處管轄之各風景區旅遊服務中心暨遊客中心資訊，民眾可免費諮詢相關旅遊訊息，並提供旅遊導覽資料等。
宜蘭縣寺廟慶典,民政處_宗教禮俗科,楊文彬,(03)925-1000,目前宜蘭縣提供縣內寺廟慶典一覽表
宜蘭縣災民收容所學校一覽表,教育處_教育資源管理科,吳怡嫺,(03)925-1000,目前宜蘭縣災民收容所學校一覽表
106年度校舍地春節期間開放露營場地之學校名冊,教育處_教育資源管理科,吳怡嫺,(03)925-1000,目前宜蘭縣106年度校舍地春節期間開放露營場地之學校名冊
宜蘭縣列管海岸資料,環保局_廢棄物管理科,孫沛豪,(03)990-7755#311,提供宜蘭縣列管海岸位置與通報單位資料(提供CSV_XML_JSON格式資料)
宜蘭縣各鄉鎮市公所公設廣告欄設置地點,環保局_空氣噪音防制科,蕭雪霞,(03)990-7755#309,提供宜蘭縣各鄉鎮市公所公設廣告欄設置地點資料(提供CSV_XML_JSON格式資料)
宜蘭縣經紀業名冊,地政處_地籍科,李維宸,(03)925-1000*1136,提供宜蘭縣經紀業名冊
宜蘭縣社區日曆,文化局_文化發展科,江小姐,(03)932-2440#305,"宜蘭縣每年皆會發行社區日曆, 由縣內挑選出12個社區, 做為每個月份的主題"
宜蘭縣宜蘭市公所最新公共債務情形表,財政處_財務企劃科,黃秋滋,(03)9325164#402,宜蘭市公所公共債務
宜蘭縣羅東鎮公所最新公共債務情形表,財政處_財務企劃科,林裳絹,(03)9545102#265,羅東鎮公所公共債務
宜蘭縣頭城鎮公所最新公共債務情形表,財政處_財務企劃科,林麗梅,(03)9772371#241,宜蘭縣頭城鎮公所最新債務
宜蘭縣礁溪鄉公所最新公共債務情形表,財政處_財務企劃科,陳淳婷,(03)9881311#504,礁溪鄉公所公共債務
宜蘭縣壯圍鄉公所最新公共債務情形表,財政處_財務企劃科,林瑞妙,(03)9383012#241,宜蘭縣壯圍鄉公所公共債務
宜蘭縣員山鄉公所最新公共債務情形表,財政處_財務企劃科,黃惠卿,(03)9231991#504,宜蘭縣員山鄉公所公共債務
宜蘭縣冬山鄉公所最新公共債務情形表,財政處_財務企劃科,方珮廷,(03)9591105#284,宜蘭縣冬山鄉公所最新債務
宜蘭縣蘇澳鎮公所最新公共債務情形表,財政處_財務企劃科,陳禹秀,(03)9973421#215,宜蘭縣蘇澳鎮公所最新債務
宜蘭縣五結鄉公所最新公共債務情形表,財政處_財務企劃科,楊濟瑄,(03)9501115#116,宜蘭縣五結鄉公所最新債務
宜蘭縣三星鄉公所最新公共債務情形表,財政處_財務企劃科,許心瑜,(03)9892018#291,宜蘭縣三星鄉公所最新債務
宜蘭縣大同鄉公所最新公共債務情形表,財政處_財務企劃科,李忠仁,(03)9801004#120,宜蘭縣大同鄉公所最新債務
宜蘭縣南澳鄉公所最新公共債務情形表,財政處_財務企劃科,劉嘉萍,(03)9981915#253,宜蘭縣南澳鄉公所最新債務
宜蘭縣最近5年房屋稅綜合統計表,地方稅務局_財產稅科,陳柏源,(03)932-5101#122,1.資料來源：本表係根據徵收檔資料編製。2.所屬期間：前一年7月1日至當年6月30日。3.單位：戶、平方公尺；新臺幣元。
105年已登記公私有土地筆數面積統計表,羅東地政事務所_登記課,課員林清富,(03)925-1000,已登記公私有土地筆數面積統計表
宜蘭縣最近5年契稅綜合統計表,地方稅務局_財產稅科,陳柏源,(03)932-5101#122,1.資料來源：本表係根據徵銷檔資料編製。2.單位：件；新臺幣元。3.所屬期間：每年1月1日至12月31日。
宜蘭縣最近5年地價稅稅源統計表,地方稅務局_土地稅科,吳昱緯,(03)9325101#227,宜蘭縣最近5年地價稅稅源統計表
宜蘭縣最近5年土地增值稅稅源統計表,地方稅務局_土地稅科,簡孜宇,(03)9325101分機254,宜蘭縣最近5年土地增值稅稅源統計
宜蘭縣街頭藝人通訊錄,文化局_表演藝術科,陳小姐,(03)936-9115#118,宜蘭縣街頭藝人通過認證審查之通訊錄
宜蘭縣母嬰親善醫療院所名單,衛生局_保健科,林業峰,(03)925-1000,宜蘭縣母嬰親善醫療院所名單
宜蘭縣友善哺乳場所及宜蘭縣哺(集)乳室,衛生局_保健科,林業峰,(03)925-1000,宜蘭縣友善哺乳場所及宜蘭縣哺(集)乳室
宜蘭縣促進民間參與公共建設案件一覽表,財政處_公有財產科,李怡萱,(03)925-1000,宜蘭縣促進民間參與公共建設案件一覽表
